t,V,T,W
0.4153714000003674,0.000763267,20.480348634241253,
0.6312005999989196,0.000763445,20.48477477596357,
0.8462674999991577,0.00076357,20.487883011597827,
1.0610839999990276,0.000763162,20.477737700132973,
1.2761465000003227,0.000763235,20.47955292160326,
1.4910686000002895,0.000762942,20.472267152731224,
1.7061519999988377,0.000762848,20.46992972926548,
1.920912800000224,0.000763026,20.474355910196394,
2.135956099999021,0.000762785,20.468363155619816,0.02
2.350924700000178,0.000762733,20.467070109134383,0.02
2.566326299998764,0.000762178,20.45326923600766,
2.781437800000276,0.000762031,20.449613842499794,
2.9964978999996674,0.000760618,20.41447672600889,14.31
3.2115206999988004,0.000758943,20.37282308953877,14.31
3.4265553999994154,0.000757644,20.340518748834253,14.31
3.6416422000002058,0.000755896,20.29704700117457,
3.856543500000043,0.000752326,20.20825820113194,
4.071639300000243,0.000745845,20.047053462025808,31.1
4.28664149999895,0.000734716,19.770186052736193,31.1
4.5015284000000975,0.000709567,19.144293903403344,
4.716455800000404,0.000673206,18.23879812279976,
4.931544900000517,0.000637368,17.345687034029783,
5.146620899999107,0.000603686,16.50574355335139,31.06
5.361676099999386,0.000575774,15.809289523116826,31.06
5.576670999998896,0.000554835,15.286593297760907,
5.791617299999416,0.00053045,14.677632712067522,
6.006567299999006,0.000502957,13.990753355787977,33.21
6.221790300000066,0.000493754,13.760757658285971,33.21
6.436800899999071,0.000476688,13.334164374753142,33.21
6.6518304999990505,0.00045198,12.716343979021627,
6.866872999999032,0.000432516,12.229486143191751,
7.08205210000051,0.000419555,11.905212474405173,29.03
7.297021099999256,0.000400301,11.423383193780664,29.03
7.512024199999359,0.000381131,10.943530089654288,29.03
7.727041799998915,0.000359867,10.411120538858563,
7.941866699999082,0.000342058,9.965109004811124,
8.15694590000021,0.00031805,9.363700633558569,28.92
8.372040599999309,0.000295834,8.80704018938052,28.92
8.587120399999549,0.000270078,8.161520636019992,
8.802155699999275,0.000241799,7.452589361256959,
9.017578299999514,0.000221268,6.937789082974154,
9.232498600000326,0.000198475,6.366178909888297,27.01
9.447552300000098,0.000179462,5.889299298194928,27.01
9.66249599999901,0.000155162,5.279737931863799,
9.87749950000034,0.000133081,4.725779565053774,
10.092316399999618,0.000114476,4.258990290676902,26.47
10.307364000000234,9.3725e-05,3.7383307685079266,26.47
10.522369000000252,7.4074e-05,3.2452530396627024,26.47
10.737625300000218,5.3689e-05,2.733749601618178,
10.952772399999958,3.2613e-05,2.2049098717052003,
11.167817999999896,1.2553e-05,1.7015770035587912,25.04
11.383027300000322,-6.062e-06,1.234522492478504,25.04
11.597886600000493,-2.6876e-05,0.7123301869258536,25.25
11.813172699999996,-4.8391e-05,0.17260354779918724,
12.02802729999894,-7.0116e-05,-0.3739283547002709,
12.243171099999016,-8.7831e-05,-0.8208227200661671,24.85
12.458196499999758,-0.000103473,-1.215979147750672,24.85
12.67312850000053,-0.000118528,-1.5967789977336766,
12.887974999999642,-0.000143551,-2.230684379582455,
13.102995100000044,-0.000166176,-2.804834520986728,
13.318010200000572,-0.000185011,-3.2834861718717674,23.61
13.533027999999833,-0.000204139,-3.770184721026329,23.61
13.747922599999583,-0.000224775,-4.295901065375808,
13.963126999999076,-0.000239799,-4.679053100204734,
14.17826199999945,-0.000256698,-5.110414882715384,22.57
14.393588999999338,-0.00027302,-5.527428974413246,22.57
14.608870199999728,-0.000289238,-5.94214398181187,22.57
14.823765499999354,-0.000309381,-6.4577061067032915,
15.038869599999089,-0.000329232,-6.966296576505431,
15.253903299999363,-0.000351983,-7.549777025444666,21.14
15.468974499999604,-0.000370724,-8.030874030563442,21.14
15.684141899999304,-0.000391485,-8.564294910803422,
15.89926000000014,-0.000411608,-9.081781251676212,
16.1142918000005,-0.000431344,-9.589742668965936,
16.329353099999935,-0.000448975,-10.043876543461725,19.93
16.544303499998932,-0.000466041,-10.48376708687033,19.93
16.759757899999386,-0.000483337,-10.92989265989128,
16.974785299998985,-0.000502245,-11.417946332430425,
17.18967899999916,-0.000520085,-11.878763512233883,20.05
17.40504999999939,-0.00053669,-12.307966240837324,20.05
17.61992939999982,-0.00055563,-12.797858608836219,20.05
17.834926600000472,-0.000574601,-13.288909327279182,
18.04995299999973,-0.00059217,-13.74398788125781,
18.26494730000013,-0.000610303,-14.213995614972022,19.24
18.48001909999948,-0.000628699,-14.691153279280458,19.24
18.69517160000032,-0.000645419,-15.125130495375268,19.24
18.91017280000051,-0.00066215,-15.559672648051615,
19.12540210000043,-0.000678901,-15.995015809893726,
19.34048299999995,-0.000696417,-16.450543971525416,17.55
19.55559270000049,-0.000712467,-16.868221096043023,17.55
19.770682899999883,-0.000731187,-17.3557153707251,
19.98550189999878,-0.000745311,-17.723764051848217,
20.200696199999584,-0.000762502,-18.172015703718102,
20.415696000000025,-0.000780259,-18.635354037769314,16.37
20.63065800000004,-0.000798068,-19.100388327835606,16.37
20.84566569999879,-0.000814705,-19.535129548458876,
21.060680999999025,-0.000832241,-19.99369138599474,
21.27568539999993,-0.000849422,-20.443301605187308,15.44
21.490822699999622,-0.000866551,-20.891882033522474,15.44
21.70600899999954,-0.000883899,-21.346539115329325,15.44
21.92111440000008,-0.000899688,-21.760640476301578,
22.13621959999909,-0.000917193,-22.220089374016528,
22.3515668,-0.000929945,-22.55501657196013,15.11
22.566455099999075,-0.000944812,-22.945740209432422,15.11
22.781529699999737,-0.000960433,-23.35656932980429,15.11
22.99670750000041,-0.000977572,-23.80766711235955,
23.21148929999981,-0.000995467,-24.279053897413288,
23.42665239999951,-0.001014187,-24.772606434943025,14.17
23.641756900000477,-0.001031242,-25.22265287916488,14.17
23.85695779999878,-0.001047481,-25.65151851449843,
24.071930599999178,-0.001062808,-26.0566173345435,
24.28714670000045,-0.001079843,-26.50722702368079,
24.50219749999997,-0.001098228,-26.99398687588944,13.02
24.71743769999921,-0.001115785,-27.459256659591595,13.02
24.93246089999957,-0.001131511,-27.876366844953882,
25.14775659999941,-0.001147069,-28.289362481113866,
25.362699499999508,-0.001164135,-28.74278384146346,12.13
25.57792429999972,-0.001180939,-29.189652692437644,12.13
25.79356109999935,-0.0011979,-29.641112458392474,12.13
26.008669999999256,-0.001214693,-30.08851671279415,
26.223875899999257,-0.001231037,-30.524360651054305,
26.43886720000046,-0.001246176,-30.928428490051694,11.7
26.65401360000033,-0.001261577,-31.339845553145615,11.7
26.869121599998834,-0.001277219,-31.75807196050584,
27.08428049999929,-0.001292484,-32.166582563501336,
27.29926129999876,-0.001308576,-32.59761786864306,
27.514410800000405,-0.001324312,-33.019511248173316,10.62
27.72956449999947,-0.001338938,-33.411996955118184,10.62
27.944817600000533,-0.001354695,-33.835215778531946,
28.16004299999986,-0.001370075,-34.248694976810675,
28.37498869999945,-0.001386219,-34.683127635324155,9.78
28.59042749999935,-0.001401798,-35.10276146265527,9.78
28.805362799999784,-0.001415807,-35.48044848699209,9.78
29.020615100000214,-0.001431292,-35.898309135253115,
29.2355220999998,-0.001447132,-36.3261655027159,
29.450838999999178,-0.001462764,-36.748819172942945,9.71
29.665903699999035,-0.001478783,-37.182367914801645,9.71
29.88095439999961,-0.00149411,-37.59759966872229,9.71
30.0960484999996,-0.001509679,-38.01980267475141,
30.311130399999456,-0.001525111,-38.438706095762754,
30.526305899998988,-0.001540764,-38.86403406654268,8.35
30.741545299999416,-0.001556405,-39.28946673698384,8.35
30.95681700000023,-0.001572079,-39.71623170187207,
31.171653600000354,-0.001587134,-40.126555023715035,
31.38694050000049,-0.00160242,-40.543589958328035,
31.626958299999387,-0.001617695,-40.96074563351301,6.64
31.841727299999548,-0.00163451,-41.42044755223632,6.64
32.05697609999879,-0.001648948,-41.81557663150082,
32.2719933999997,-0.001662213,-42.17894075751605,
32.487323299999844,-0.001674483,-42.51533772590389,7.42
32.70254579999892,-0.001683309,-42.75748541786578,7.42
32.917828499999814,-0.001690335,-42.950352126208855,7.42
33.13330959999985,-0.0017045,-43.33946683433747,
33.34838800000034,-0.001715315,-43.63680888603968,
33.56323169999996,-0.00173324,-44.13011310425283,5.28
33.77834230000008,-0.001746599,-44.49815291646489,5.28
33.99353700000029,-0.001757875,-44.80906925708643,
34.20876099999987,-0.001764408,-44.98931606540262,
34.42391419999876,-0.001779118,-45.39546590398257,
34.63899130000027,-0.001796425,-45.873850510507374,5.75
34.85411419999946,-0.001810245,-46.25626428533459,5.75
35.06923219999953,-0.001825866,-46.68895798406999,
35.284524099999544,-0.001840555,-47.096267864673756,
35.499481599999854,-0.001849402,-47.34178835812374,3.82
35.71466049999981,-0.001862185,-47.69681043694087,3.82
35.929703800000425,-0.001877398,-48.11973882523898,3.82
36.1449094999989,-0.001889082,-48.44486898491481,
36.36010530000021,-0.001902127,-48.808190658167,
36.57516129999931,-0.001914932,-49.16515653191234,3.38
36.79037489999973,-0.00192737,-49.51220429999783,3.38
37.00545579999925,-0.001940897,-49.8899887780124,
37.22056870000051,-0.001954434,-50.268420256681736,
37.43576269999903,-0.001968265,-50.65545201911455,
37.65090070000042,-0.001981509,-51.02642052735748,2.93
37.865906999999424,-0.001994827,-51.39982101748045,2.93
38.08111719999943,-0.002004637,-51.675097925188645,
38.296094999999696,-0.002017462,-52.03527511377141,
38.51124530000016,-0.002030591,-52.40433945381049,
38.72653229999924,-0.002044037,-52.78268288128093,1.55
38.94172509999953,-0.002056893,-53.144774481350616,1.55
39.156944999998814,-0.002070818,-53.537361723466816,
39.37194160000036,-0.002083434,-53.893393226835784,
39.58700709999903,-0.002097212,-54.28259750197803,1.5
39.80206569999973,-0.002109672,-54.63491388362707,1.5
40.017375999999786,-0.002121356,-54.96558558679326,1.5
40.23235100000056,-0.002134234,-55.330383605621094,
40.447591099999045,-0.002146714,-55.68424344225781,
40.66254019999906,-0.002158796,-56.02713465088281,0.69
40.877887499998906,-0.002171548,-56.38937954065325,0.69
41.093115199999374,-0.002183672,-56.73410884039727,
41.30810779999956,-0.002195283,-57.06454882774008,
41.523642799998925,-0.002205313,-57.3502296559989,
41.73865839999962,-0.002218442,-57.72450838254076,-0.11
41.95386320000034,-0.002232325,-58.12069086819733,-0.11
42.16899340000055,-0.002246051,-58.512808030780626,
42.38406690000011,-0.002259389,-58.89423811796644,
42.599171099998784,-0.002271398,-59.23799876746179,-0.69
42.81427040000017,-0.002284569,-59.61538995638679,-0.69
43.0293686999994,-0.00229818,-60.00579481341991,-0.69
43.24434949999886,-0.00231157,-60.390265510250615,
43.45955060000051,-0.002324699,-60.76763367498964,
43.67465599999923,-0.002337986,-61.14993990076606,-1.05
43.88979019999897,-0.002350874,-61.52114872938772,-1.05
44.10501929999919,-0.0023635,-61.885178714420185,-1.05
44.32023669999944,-0.002376336,-62.25563791899397,
44.53536039999926,-0.002388335,-62.60228358234333,
44.750548300000446,-0.002401181,-62.973767858685875,-2.42
44.96554669999932,-0.002414436,-63.35748181326192,-2.42
45.1806560999994,-0.002427167,-63.726413097899695,
45.39573949999976,-0.002439815,-64.09331591760598,
45.61067360000016,-0.002453561,-64.49249841111035,
45.82589919999919,-0.00246735,-64.89337995474476,-2.93
46.04084359999979,-0.002480908,-65.28798792183052,-2.93
46.2560672999989,-0.002494079,-65.67175434590187,
46.47120890000042,-0.002507763,-66.07091127901792,
46.68643119999979,-0.002521018,-66.45798740705716,-3.44
46.90142259999993,-0.002534315,-66.84672053691878,-3.44
47.11660169999959,-0.002547056,-67.21960597699479,-3.44
47.33152589999918,-0.002559965,-67.59781646760024,
47.54655019999882,-0.002573597,-67.99765820800987,
47.76164059999974,-0.002587511,-68.4062494128089,-4.43
47.976836300000286,-0.002601258,-68.81041381154883,-4.43
48.19191370000044,-0.002615392,-69.22645374732143,
48.4068628999994,-0.002629265,-69.63530482991857,
48.62208719999944,-0.002642499,-70.02578273213246,
48.83704450000005,-0.002655513,-70.41020896037274,-5.0
49.05218740000055,-0.002668338,-70.78948127433507,-5.0
49.26738449999903,-0.002681163,-71.1691820846085,
49.48265629999878,-0.002693947,-71.5480980867102,
49.69771589999982,-0.002706731,-71.92744509045109,-5.27
49.91283999999905,-0.002718478,-72.27640286598395,-5.27
50.12798499999917,-0.002730759,-72.64161751220796,-5.27
50.34313660000044,-0.002743103,-73.00911374711778,
50.55819960000008,-0.002757205,-73.42945171778234,
50.7731191999992,-0.002770764,-73.83411463166128,-6.27
50.98828449999928,-0.002783275,-74.2079470336024,-6.27
51.20323540000027,-0.002795891,-74.58535379902239,-6.27
51.41832810000051,-0.002808183,-74.95349282379995,-6.2
51.63345320000008,-0.002819961,-75.30663354151353,-6.2
51.84851949999938,-0.002832923,-75.69572472374841,-6.43
52.06375180000032,-0.002845539,-76.07488600765822,-6.43
52.27892409999913,-0.002858364,-76.46079302885539,-6.47
52.49399230000017,-0.002870143,-76.81564092634424,-6.47
52.70925089999946,-0.002882267,-77.1813000403942,-6.47
52.92428739999923,-0.00289504,-77.56699456453212,-7.44
53.13945919999969,-0.002906975,-77.92781564802222,-7.44
53.35464049999973,-0.002918785,-78.28527014641016,-7.24
53.56966130000001,-0.002931673,-78.67582383426598,-7.24
53.78480320000017,-0.002944174,-79.05512306938874,-7.76
53.9999018999988,-0.00295634,-79.42470826374884,-7.76
54.21498549999888,-0.002968391,-79.79124084706551,-7.76
54.43004219999966,-0.002980798,-80.16906276785481,-8.07
54.64517650000016,-0.002993319,-80.55083424750761,-8.07
54.8604077,-0.003006448,-80.95166331417472,-7.89
55.07553639999969,-0.003019421,-81.34825569135887,-7.89
55.29059690000031,-0.003031859,-81.72898729438472,-8.72
55.50578449999921,-0.003044904,-82.12882323628038,-8.72
55.72102660000019,-0.003057185,-82.50573580659253,-8.72
55.93609509999988,-0.003069832,-82.89438510768001,-9.27
56.151133800000025,-0.003082344,-83.27939252610695,-9.27
56.36625809999896,-0.003095002,-83.66940908219331,-9.14
56.58147579999968,-0.003106518,-84.02469300740236,-9.14
56.79652739999983,-0.003117533,-84.3649283318395,-9.94
57.01164219999919,-0.00312907,-84.7217178132856,-9.94
57.226677499998914,-0.003141435,-85.10460596139448,-9.94
57.44176779999907,-0.003154208,-85.50066653453783,-9.76
57.657126099999005,-0.003166207,-85.87322926863472,-9.76
57.8723742000002,-0.003177996,-86.23974864025107,-10.24
58.08764369999881,-0.003189648,-86.6024764737014,-10.24
58.30259029999979,-0.003202453,-87.00163741445974,-10.14
58.51763469999969,-0.003214661,-87.38271888103904,-10.14
58.73271720000048,-0.003226115,-87.74073775996939,-10.14
58.94790040000044,-0.003237579,-88.09953189693337,-11.41
59.16296449999936,-0.003249085,-88.46010907196789,-11.41
59.37800919999973,-0.003261031,-88.83497508678056,-11.23
59.59307679999984,-0.003273386,-89.22321514876543,-11.23
59.80841650000002,-0.003284651,-89.57768487813034,-11.3
60.02356340000006,-0.003296649,-89.95572812948622,-11.3
60.23874799999976,-0.003308794,-90.33894117483051,-11.3
60.45422680000047,-0.003320374,-90.70483427754553,-12.02
60.6693565000005,-0.003332487,-91.0881025106607,-12.02
60.88459580000017,-0.003344747,-91.4765818003265,-12.19
61.09961680000015,-0.003356924,-91.86299255095109,-12.19
61.31474359999993,-0.003369058,-92.24859934697325,-12.42
61.52986489999967,-0.003381088,-92.63145742616756,-12.42
61.74498329999915,-0.003393003,-93.01120542608594,-12.42
61.960006299999804,-0.003405011,-93.39447495382956,-13.18
62.17522669999926,-0.00341723,-93.785057679654,-13.18
62.39046909999888,-0.003429322,-94.17215939001004,-13.33
62.60574309999902,-0.003441184,-94.55246126058223,-13.33
62.821000699999786,-0.003453047,-94.93335689942164,-13.01
63.0360896000002,-0.003465213,-95.3245687276514,-13.01
63.25135860000046,-0.003477305,-95.71399463287733,-13.01
63.4665229000002,-0.003489481,-96.10672801186959,-13.27
63.68179239999881,-0.003501731,-96.5024623977239,-13.27
63.89677739999934,-0.00351375,-96.89133729801412,-14.16
64.1118805999995,-0.003525916,-97.28558087489922,-14.16
64.32728189999943,-0.003538166,-97.6831735032419,-14.48
64.54236859999946,-0.003550363,-98.07967544441843,-14.48
64.7575925000001,-0.003562487,-98.47443120889574,-14.48
64.97252219999973,-0.003574569,-98.86844562489262,-15.16
65.18774800000028,-0.003586473,-99.25727075552133,-15.16
65.40270719999899,-0.003598555,-99.65253911899383,-14.93
65.61779229999956,-0.003610721,-100.05120048718716,-14.93
65.83292059999985,-0.003622489,-100.43744000011907,-15.47
66.04801339999904,-0.003634749,-100.84048050518695,-15.47
66.26300079999965,-0.003646716,-101.23453590268555,-15.47
66.4783066,-0.003658861,-101.6351107519379,-15.91
66.69347329999982,-0.003670566,-102.02180497240462,-15.91
66.9085656999996,-0.003682554,-102.41849576594053,-15.97
67.12393729999894,-0.003694678,-102.82035757981656,-15.97
67.33891289999883,-0.003707158,-103.2347287772436,-16.28
67.55406159999984,-0.003718884,-103.62472538829472,-16.28
67.76922159999958,-0.003730789,-104.0213344078323,-16.65
67.98429020000003,-0.003742954,-104.42729582444943,-16.65
68.19938480000019,-0.003755309,-104.84031729414521,-16.65
68.41448110000056,-0.003767506,-105.24877314094392,-16.84
68.62961929999983,-0.003779599,-105.65445369321414,-16.84
68.84489839999878,-0.00379167,-106.06010363642952,-17.06
69.06003930000043,-0.003803972,-106.47424867817394,-17.06
69.27527240000018,-0.003816107,-106.88350097282101,-18.1
69.49048289999882,-0.003828576,-107.30477720884558,-18.1
69.7054877999999,-0.003840669,-107.71409075734594,-18.1
69.92097710000053,-0.003852646,-108.12020207197499,-18.15
70.13605769999958,-0.003864728,-108.53060879037304,-18.15
70.35110919999897,-0.003876884,-108.9442794577104,-18.2
70.56622769999922,-0.003888966,-109.35618280571215,-18.2
