t,V,T,W
0.4157539999996515,0.001140576,28.459607809396715,
0.6321996000006038,0.001138262,28.402482286485796,
0.8474638999996387,0.001136681,28.363450500013396,
1.0625185999997484,0.001133373,28.281777818365534,
1.277454500001113,0.00113399,28.29701168337392,
1.4924604999996518,0.001137571,28.385423029964763,
1.7077758000014,0.00113465,28.313306985212918,
1.9226885000007317,0.001036035,25.87574449515985,
2.1376889000002848,0.000892181,22.310086997850945,15.63
2.35264830000051,0.000795566,19.908963638574548,15.63
2.5678255000002537,0.000551243,13.816166705872108,
2.782812700001159,0.000584003,14.634694893467865,
2.9980119000010745,0.000520263,13.041711772482618,16.91
3.212953500000367,0.000409546,10.271058936961037,16.91
3.42784759999995,0.000192193,4.82211935107986,16.91
3.642922799999724,1.248e-05,0.3130544616101143,
3.8577904000012495,-2.6939e-05,-0.6789735670958147,
4.072898899999927,-6.9613e-05,-1.7577070222024147,22.51
4.28778710000006,-0.000288725,-7.3448946565192,22.51
4.503052100000787,-0.000398552,-10.168832817282611,
4.718072499999835,-0.000499387,-12.772734560261064,
4.933166400000118,-0.000601121,-15.410118622381523,
5.148159100001067,-0.00088792,-22.903151571940644,17.57
5.363303800000722,-0.001448221,-37.85199932005601,17.57
5.578272700000525,-0.001844292,-48.736780863022666,
5.793435999999929,-0.002170375,-57.93006661081747,
6.008376300000236,-0.002293835,-61.47023203284876,15.04
6.223435699999754,-0.00222419,-59.46901230577171,15.04
6.438549800001056,-0.002301519,-61.691700954703435,15.04
6.653616800000236,-0.002294306,-61.48380335947979,
6.868791700000656,-0.002437773,-65.64161135087213,
7.083777300000293,-0.002357292,-63.30326515472569,12.25
7.298994099999618,-0.002362223,-63.446093857285376,12.25
7.514041399999769,-0.002476919,-66.78459710531685,12.25
7.72934929999974,-0.00236883,-63.63755784528561,
7.944436699999642,-0.002412645,-64.90987378757116,
8.1594737000014,-0.002526221,-68.22946852918251,12.62
8.374361500000305,-0.002539539,-68.62081154109164,12.62
8.589399600001343,-0.002540199,-68.64021691733318,
8.804515100000572,-0.002525447,-68.206738589993,
9.019648499999676,-0.002584444,-69.9436311446518,
9.234888700000738,-0.002657606,-72.11000279676144,11.89
9.450202100000752,-0.002636887,-71.49507614828883,11.89
9.66562789999989,-0.002713536,-73.77570759437634,
9.880742100000134,-0.0026053,-70.55976720094566,
10.09603000000061,-0.002606284,-70.58886471519453,11.03
10.310913400000572,-0.002751039,-74.89740023024424,11.03
10.526108000000022,-0.002653398,-71.98501996603181,11.03
10.741196900000432,-0.002889826,-79.08317720385729,
10.95631660000072,-0.002730539,-74.28377597384348,
11.171307100001286,-0.002764325,-75.29571387719808,6.17
11.386420099999668,-0.002721137,-74.00273566530251,6.17
11.601581799999622,-0.002820286,-76.97890445078305,
11.816657000001214,-0.002733219,-74.36392995066588,
12.03177440000036,-0.002753782,-74.97959479574403,
12.24674480000067,-0.00271162,-73.71850512560513,9.0
12.46182890000091,-0.002708866,-73.63630161801878,9.0
12.676897400000598,-0.002679436,-72.75913952891878,
12.89220540000133,-0.002680954,-72.80432628151691,
13.107147100001384,-0.002744987,-74.71612498269987,
13.32226720000108,-0.002737156,-74.48171454459734,8.6
13.53726640000059,-0.002765927,-75.34377518579564,8.6
13.75234150000142,-0.002781621,-75.81499043328482,
13.967432700001154,-0.002813438,-76.77244980003273,
14.182561100000385,-0.002837477,-77.49778034751175,8.41
14.397787600000813,-0.002833781,-77.38615146376534,8.41
14.612707399999636,-0.002909991,-79.69606002661436,8.41
14.827775499999916,-0.002863348,-78.28027323630975,
15.042827900000702,-0.002837341,-77.49367208501239,
15.258066399999734,-0.002829782,-77.2654160084948,6.68
15.472988200001057,-0.002831227,-77.30903722879904,6.68
15.688346300001283,-0.002833153,-77.36718817605248,
15.903274199999942,-0.002821333,-77.01048152416406,
16.11855530000139,-0.002899395,-79.37385852760035,
16.333579899999677,-0.002881241,-78.82262130506652,8.42
16.548870500000703,-0.002992032,-82.2024431871807,8.42
16.76406020000104,-0.003018059,-83.00200210114936,
16.979033600000548,-0.002961282,-81.26056458308254,
17.194091900000785,-0.003016321,-82.94854237224006,6.81
17.40909660000034,-0.002975835,-81.70595449439708,6.81
17.624257999999827,-0.002971322,-81.56776446277404,6.81
17.83934380000028,-0.002937756,-80.54195603854745,
18.054565600001297,-0.002902484,-79.46775326190479,
18.269559700000173,-0.002958099,-81.16323826505665,-0.57
18.484840400000397,-0.002920722,-80.02271407145727,-0.57
18.699867400000585,-0.002951241,-80.95364909659612,4.47
18.91513230000055,-0.002965962,-81.40372204461623,
19.130121100000903,-0.00302119,-83.09833418405177,
19.345265900001323,-0.003049877,-83.9824347572486,1.94
19.56046950000018,-0.003004805,-82.59456334178869,1.94
19.775597500000003,-0.003057101,-84.20549455430546,
19.99072530000012,-0.003002124,-82.5122157490455,
20.205863000001045,-0.003042046,-83.74082587755936,
20.42097509999985,-0.00299891,-82.41352720981904,5.11
20.635902300000453,-0.002991267,-82.17897484099937,5.11
20.85078980000071,-0.002976746,-81.73385748961094,
21.065761300000304,-0.002984954,-81.98537821562209,
21.281193599999824,-0.003016143,-82.94306775986507,3.44
21.49629520000053,-0.003028582,-83.32589107309224,3.44
21.71165480000127,-0.003032497,-83.44648304384577,3.44
21.926800500001264,-0.003030791,-83.39392777670918,
22.14185220000036,-0.003129447,-86.44897929392279,
22.357065300000613,-0.003133373,-86.57123461942786,-2.27
22.57207980000021,-0.003076847,-84.81608412165295,-2.27
22.787143400000787,-0.003090709,-85.24550376004407,
23.002312800001164,-0.003086982,-85.12998475651922,
