t,V,T,W
0.5217695999999705,0.001292377,32.20037185419459,
1.047237299999324,0.001291257,32.172820660484966,
1.572081799999978,0.001288932,32.11562504426742,
2.096790300000066,0.001247629,31.099044186830355,14.52
2.621436200000062,0.001102393,27.51659328733059,
3.1462633999999525,0.000738767,18.495091582271066,68.23
3.67111709999972,0.000506883,12.707115407211939,
4.19650989999991,0.00027748,6.961360702989026,13.5
4.720966199999566,7.3372e-05,1.8407568871357332,
5.245700699999361,-8.135e-06,-0.2048627169052637,16.07
5.770255099999304,-0.000192309,-4.8776447421886315,
6.2949485999997705,-0.000423429,-10.810283613418164,15.06
6.819306999999753,-0.000665647,-17.08827789332741,
7.343779299999369,-0.000819824,-21.11578651154835,11.64
7.868238699999893,-0.000875879,-22.586701850149645,
8.392684999999801,-0.001020992,-26.41252298396491,11.96
8.917026499999338,-0.001111912,-28.82383567331958,
9.441347199999656,-0.001160868,-30.127087661734308,10.6
9.965798399999583,-0.001275722,-33.198779068379324,
10.490021899999192,-0.001338163,-34.87744715161814,9.91
11.014292199999543,-0.001368965,-35.70788121553459,
11.538796199999524,-0.001423764,-37.1892187934009,13.18
12.063051499999348,-0.001486227,-38.884016284251715,10.18
12.587410799999816,-0.001363081,-35.549124457704536,
13.11172759999954,-0.001454859,-38.03206637140664,10.36
13.635917999999949,-0.001623213,-42.62511760483396,
14.16012529999989,-0.001554343,-40.740030696629546,8.49
14.684436699999424,-0.001579062,-41.41563325761266,
15.208857999999964,-0.001697538,-44.669380723001474,6.33
15.733085399999254,-0.001797042,-47.4226351543366,
16.279729899999438,-0.002086512,-55.54441785815867,5.58
16.80157759999929,-0.002354413,-63.21989983620597,
17.326547199999368,-0.002441469,-65.74936838987105,5.49
17.851676599999337,-0.002426403,-65.3103247445425,
18.37659540000004,-0.002490059,-67.16909775312385,5.06
18.90144489999966,-0.00254647,-68.82465218368498,
19.426306499999555,-0.00268443,-72.9078207711377,6.49
19.95125759999973,-0.002684493,-72.90969683480088,
20.476108899999417,-0.002772366,-75.53702327386556,4.68
21.0009330999992,-0.002827405,-77.19367305888828,
21.52583279999999,-0.002941735,-80.66337522301792,4.48
22.050756799999363,-0.003164018,-87.52735257878865,
22.575729299999693,-0.003345794,-93.2684970717589,5.0
23.10066149999966,-0.0034364,-96.17746257131525,
23.62580119999984,-0.003508693,-98.52259763998718,2.47
24.15075119999983,-0.003563754,-100.32371673486293,
24.675520399999183,-0.003591405,-101.23325064795092,-2.91
25.200420799999847,-0.00361269,-101.9357236341878,3.39
25.725341999999728,-0.003650381,-103.1847202028299,-2.15
26.25025310000001,-0.003651354,-103.21705012372578,1.71
26.77509629999986,-0.003685119,-104.34170699304443,1.31
27.300011499999528,-0.003705713,-105.03030761225934,-0.15
27.824953499999538,-0.003743687,-106.30539719390916,1.36
28.3498596999998,-0.003786163,-107.74004235737998,-0.26
28.87468869999975,-0.003798517,-108.15899630246761,-4.52
29.399554999999964,-0.003772406,-107.27441163058779,-0.06
29.92465809999976,-0.003784467,-107.68258690137951,-3.76
30.44942219999939,-0.003782708,-107.62301244730043,-0.91
30.974367699999675,-0.003834062,-109.36874058116372,-2.85
31.49933479999981,-0.003799282,-108.18496463823371,-1.09
32.02418769999986,-0.003801753,-108.26886430982594,-3.07
32.54896379999991,-0.003796821,-108.10143523189143,-4.84
33.073967499999526,-0.003818912,-108.85233273389387,-3.67
33.598767399999815,-0.003861566,-110.30928794764017,-5.51
34.123735499999384,-0.003874905,-110.76686396600054,-3.84
34.64861440000004,-0.003896671,-111.51554019051754,-5.84
35.17366259999926,-0.003916878,-112.21286235152137,-4.55
35.69845319999968,-0.00395859,-113.65932522968626,-6.28
36.22324529999969,-0.004020298,-115.81698048645774,-4.76
36.74815969999963,-0.004034234,-116.30726629983315,-4.26
37.27318979999927,-0.004070972,-117.6051817489635,-4.05
37.79823869999928,-0.004047446,-116.77312158599807,-9.88
38.32319109999935,-0.004073914,-117.70946351124023,-5.67
38.84811949999949,-0.004027397,-116.06659186981665,-9.89
39.3730587,-0.003982628,-114.4972718295353,-5.71
39.89809100000002,-0.003923882,-112.45507794536084,-6.38
40.42314559999977,-0.003815007,-108.71941654835804,-6.24
40.94823079999969,-0.003898933,-111.59349026004833,-6.29
41.473176199999216,-0.00394299,-113.11724002284146,-12.33
41.99824609999996,-0.003995768,-114.9566945106285,-7.28
42.52314299999944,-0.004008614,-115.40678472367685,-12.67
43.04810550000002,-0.004029449,-116.1387974531271,-6.74
43.57302769999933,-0.004020707,-115.83135364750812,-9.13
44.09786339999937,-0.004043081,-116.61909907831064,-7.91
44.62279369999942,-0.004065025,-117.3945418453758,-9.08
45.14763109999967,-0.004087116,-118.17805457975675,-10.78
45.67262499999924,-0.004105585,-118.83534616460952,-10.31
46.19744029999947,-0.004116442,-119.22269789432504,-11.19
46.72231009999996,-0.004122913,-119.45390924964987,-9.24
