indice,error,voltaje_V,tiempo_s,fecha_hora_corregida,fecha_hora_pc
0,,9.0501e-05,0.41541319999987536,2026-05-28T08:37:00.551,2026-05-28T08:52:30.551
1,,8.9946e-05,0.6316630999999688,2026-05-28T08:37:00.775,2026-05-28T08:52:30.775
2,,8.9412e-05,0.8468659000000116,2026-05-28T08:37:00.991,2026-05-28T08:52:30.991
3,,8.9946e-05,1.0619891999999709,2026-05-28T08:37:01.206,2026-05-28T08:52:31.206
4,,9.0783e-05,1.2768354999998337,2026-05-28T08:37:01.414,2026-05-28T08:52:31.414
5,,9.0375e-05,1.4918724999999995,2026-05-28T08:37:01.636,2026-05-28T08:52:31.636
6,,8.9537e-05,1.7151745999999548,2026-05-28T08:37:01.853,2026-05-28T08:52:31.853
7,,8.9234e-05,1.9649737999998251,2026-05-28T08:37:02.109,2026-05-28T08:52:32.109
8,,9.0134e-05,2.214608300000009,2026-05-28T08:37:02.351,2026-05-28T08:52:32.351
9,,9.0312e-05,2.465041799999881,2026-05-28T08:37:02.609,2026-05-28T08:52:32.609
10,,8.9611e-05,2.715171099999907,2026-05-28T08:37:02.851,2026-05-28T08:52:32.851
11,,8.8993e-05,2.964835699999867,2026-05-28T08:37:03.109,2026-05-28T08:52:33.109
12,,8.9841e-05,3.2146095999999034,2026-05-28T08:37:03.351,2026-05-28T08:52:33.351
13,,9.0092e-05,3.4648545000000013,2026-05-28T08:37:03.609,2026-05-28T08:52:33.609
14,,9.0302e-05,3.714539299999842,2026-05-28T08:37:03.851,2026-05-28T08:52:33.851
15,,8.8344e-05,3.9646864999999707,2026-05-28T08:37:04.100,2026-05-28T08:52:34.100
16,,9.1066e-05,4.214634799999885,2026-05-28T08:37:04.357,2026-05-28T08:52:34.357
17,,9.0124e-05,4.465208699999948,2026-05-28T08:37:04.601,2026-05-28T08:52:34.601
18,,8.9359e-05,4.715032199999996,2026-05-28T08:37:04.858,2026-05-28T08:52:34.858
19,,8.9412e-05,4.964562399999977,2026-05-28T08:37:05.108,2026-05-28T08:52:35.108
20,,9.0134e-05,5.214927499999931,2026-05-28T08:37:05.358,2026-05-28T08:52:35.358
21,,8.9632e-05,5.4646298000000115,2026-05-28T08:37:05.608,2026-05-28T08:52:35.608
22,,8.982e-05,5.714871700000003,2026-05-28T08:37:05.859,2026-05-28T08:52:35.859
23,,8.9632e-05,5.964722100000017,2026-05-28T08:37:06.108,2026-05-28T08:52:36.108
24,,8.9611e-05,6.214798499999915,2026-05-28T08:37:06.359,2026-05-28T08:52:36.359
25,,9.0291e-05,6.464771199999859,2026-05-28T08:37:06.608,2026-05-28T08:52:36.608
26,,9.0417e-05,6.7148394999999255,2026-05-28T08:37:06.858,2026-05-28T08:52:36.858
27,,8.9883e-05,6.964990999999827,2026-05-28T08:37:07.109,2026-05-28T08:52:37.109
28,,8.9747e-05,7.2147869000000355,2026-05-28T08:37:07.352,2026-05-28T08:52:37.352
29,,8.9946e-05,7.464557199999945,2026-05-28T08:37:07.609,2026-05-28T08:52:37.609
30,,8.9694e-05,7.714716499999895,2026-05-28T08:37:07.859,2026-05-28T08:52:37.859
31,,8.981e-05,7.964635199999975,2026-05-28T08:37:08.109,2026-05-28T08:52:38.109
32,,8.9663e-05,8.214761100000032,2026-05-28T08:37:08.358,2026-05-28T08:52:38.358
33,,8.937e-05,8.464586199999985,2026-05-28T08:37:08.608,2026-05-28T08:52:38.608
34,,8.9349e-05,8.715016200000036,2026-05-28T08:37:08.858,2026-05-28T08:52:38.858
35,,8.9778e-05,8.96472649999987,2026-05-28T08:37:09.108,2026-05-28T08:52:39.108
36,,8.9401e-05,9.214613699999973,2026-05-28T08:37:09.357,2026-05-28T08:52:39.357
37,,8.9831e-05,9.464638599999944,2026-05-28T08:37:09.607,2026-05-28T08:52:39.607
38,,8.9705e-05,9.714590000000044,2026-05-28T08:37:09.859,2026-05-28T08:52:39.859
39,,8.9527e-05,9.965085699999918,2026-05-28T08:37:10.109,2026-05-28T08:52:40.109
40,,8.9318e-05,10.21466220000002,2026-05-28T08:37:10.358,2026-05-28T08:52:40.358
41,,8.9715e-05,10.464759999999842,2026-05-28T08:37:10.609,2026-05-28T08:52:40.609
42,,8.9946e-05,10.714893500000017,2026-05-28T08:37:10.859,2026-05-28T08:52:40.859
43,,8.9056e-05,10.964723699999922,2026-05-28T08:37:11.108,2026-05-28T08:52:41.108
44,,8.9223e-05,11.214752399999952,2026-05-28T08:37:11.359,2026-05-28T08:52:41.359
45,,8.938e-05,11.464929699999857,2026-05-28T08:37:11.609,2026-05-28T08:52:41.609
46,,8.9663e-05,11.715109499999926,2026-05-28T08:37:11.859,2026-05-28T08:52:41.859
47,,8.9286e-05,11.964826299999913,2026-05-28T08:37:12.109,2026-05-28T08:52:42.109
48,,8.8867e-05,12.214723499999991,2026-05-28T08:37:12.359,2026-05-28T08:52:42.359
49,,8.9255e-05,12.464875799999845,2026-05-28T08:37:12.609,2026-05-28T08:52:42.609
50,,8.9569e-05,12.714626199999884,2026-05-28T08:37:12.859,2026-05-28T08:52:42.859
51,,8.9548e-05,12.965103499999941,2026-05-28T08:37:13.109,2026-05-28T08:52:43.109
52,,8.9014e-05,13.214502999999922,2026-05-28T08:37:13.358,2026-05-28T08:52:43.358
53,,8.9119e-05,13.465048600000046,2026-05-28T08:37:13.609,2026-05-28T08:52:43.609
54,,8.9653e-05,13.715149399999973,2026-05-28T08:37:13.859,2026-05-28T08:52:43.859
55,,8.9548e-05,13.964594999999917,2026-05-28T08:37:14.108,2026-05-28T08:52:44.108
