ind_hp,error_hp,voltaje_V,t_hp,fecha_hora_corregida_hp,fecha_hora_pc_hp,sensor_hp,tiempo_s,ind_bal,error_bal,t_bal,fecha_hora_corregida_bal,fecha_hora_pc_bal,masa_g,sensor_bal,delta_t_s
0,,9.0501e-05,0.41541319999987536,2026-05-28T08:37:00.551,2026-05-28T08:52:30.551,multimetro,0.41541319999987536,,,,,,,,
1,,8.9946e-05,0.6316630999999688,2026-05-28T08:37:00.775,2026-05-28T08:52:30.775,multimetro,0.6316630999999688,,,,,,,,
2,,8.9412e-05,0.8468659000000116,2026-05-28T08:37:00.991,2026-05-28T08:52:30.991,multimetro,0.8468659000000116,,,,,,,,
3,,8.9946e-05,1.0619891999999709,2026-05-28T08:37:01.206,2026-05-28T08:52:31.206,multimetro,1.0619891999999709,0.0,Error Arduino: HX711 not found.,1.8640255000000252,2026-05-28T08:37:02.004,2026-05-28T08:52:32.004,,balanza,0.8020363000000543
4,,9.0783e-05,1.2768354999998337,2026-05-28T08:37:01.414,2026-05-28T08:52:31.414,multimetro,1.2768354999998337,0.0,Error Arduino: HX711 not found.,1.8640255000000252,2026-05-28T08:37:02.004,2026-05-28T08:52:32.004,,balanza,0.5871900000001915
5,,9.0375e-05,1.4918724999999995,2026-05-28T08:37:01.636,2026-05-28T08:52:31.636,multimetro,1.4918724999999995,0.0,Error Arduino: HX711 not found.,1.8640255000000252,2026-05-28T08:37:02.004,2026-05-28T08:52:32.004,,balanza,0.3721530000000257
6,,8.9537e-05,1.7151745999999548,2026-05-28T08:37:01.853,2026-05-28T08:52:31.853,multimetro,1.7151745999999548,0.0,Error Arduino: HX711 not found.,1.8640255000000252,2026-05-28T08:37:02.004,2026-05-28T08:52:32.004,,balanza,0.1488509000000704
7,,8.9234e-05,1.9649737999998251,2026-05-28T08:37:02.109,2026-05-28T08:52:32.109,multimetro,1.9649737999998251,0.0,Error Arduino: HX711 not found.,1.8640255000000252,2026-05-28T08:37:02.004,2026-05-28T08:52:32.004,,balanza,-0.10094829999979993
8,,9.0134e-05,2.214608300000009,2026-05-28T08:37:02.351,2026-05-28T08:52:32.351,multimetro,2.214608300000009,0.0,Error Arduino: HX711 not found.,1.8640255000000252,2026-05-28T08:37:02.004,2026-05-28T08:52:32.004,,balanza,-0.35058279999998376
9,,9.0312e-05,2.465041799999881,2026-05-28T08:37:02.609,2026-05-28T08:52:32.609,multimetro,2.465041799999881,1.0,,2.8564440000000104,2026-05-28T08:37:02.997,2026-05-28T08:52:32.997,-0.04,balanza,0.3914022000001296
10,,8.9611e-05,2.715171099999907,2026-05-28T08:37:02.851,2026-05-28T08:52:32.851,multimetro,2.715171099999907,1.0,,2.8564440000000104,2026-05-28T08:37:02.997,2026-05-28T08:52:32.997,-0.04,balanza,0.14127290000010362
11,,8.8993e-05,2.964835699999867,2026-05-28T08:37:03.109,2026-05-28T08:52:33.109,multimetro,2.964835699999867,2.0,Error Arduino: HX711 not found.,2.8796096999999463,2026-05-28T08:37:03.018,2026-05-28T08:52:33.018,,balanza,-0.08522599999992053
12,,8.9841e-05,3.2146095999999034,2026-05-28T08:37:03.351,2026-05-28T08:52:33.351,multimetro,3.2146095999999034,2.0,Error Arduino: HX711 not found.,2.8796096999999463,2026-05-28T08:37:03.018,2026-05-28T08:52:33.018,,balanza,-0.33499989999995705
13,,9.0092e-05,3.4648545000000013,2026-05-28T08:37:03.609,2026-05-28T08:52:33.609,multimetro,3.4648545000000013,3.0,,3.87194559999989,2026-05-28T08:37:04.014,2026-05-28T08:52:34.014,-0.06,balanza,0.4070910999998887
14,,9.0302e-05,3.714539299999842,2026-05-28T08:37:03.851,2026-05-28T08:52:33.851,multimetro,3.714539299999842,3.0,,3.87194559999989,2026-05-28T08:37:04.014,2026-05-28T08:52:34.014,-0.06,balanza,0.15740630000004785
15,,8.8344e-05,3.9646864999999707,2026-05-28T08:37:04.100,2026-05-28T08:52:34.100,multimetro,3.9646864999999707,4.0,Error Arduino: HX711 not found.,3.8950367999998434,2026-05-28T08:37:04.031,2026-05-28T08:52:34.031,,balanza,-0.06964970000012727
16,,9.1066e-05,4.214634799999885,2026-05-28T08:37:04.357,2026-05-28T08:52:34.357,multimetro,4.214634799999885,4.0,Error Arduino: HX711 not found.,3.8950367999998434,2026-05-28T08:37:04.031,2026-05-28T08:52:34.031,,balanza,-0.3195980000000418
17,,9.0124e-05,4.465208699999948,2026-05-28T08:37:04.601,2026-05-28T08:52:34.601,multimetro,4.465208699999948,5.0,,4.887544700000035,2026-05-28T08:37:05.031,2026-05-28T08:52:35.031,-0.05,balanza,0.42233600000008664
18,,8.9359e-05,4.715032199999996,2026-05-28T08:37:04.858,2026-05-28T08:52:34.858,multimetro,4.715032199999996,5.0,,4.887544700000035,2026-05-28T08:37:05.031,2026-05-28T08:52:35.031,-0.05,balanza,0.17251250000003893
19,,8.9412e-05,4.964562399999977,2026-05-28T08:37:05.108,2026-05-28T08:52:35.108,multimetro,4.964562399999977,6.0,Error Arduino: HX711 not found.,4.910820599999852,2026-05-28T08:37:05.047,2026-05-28T08:52:35.047,,balanza,-0.053741800000125295
20,,9.0134e-05,5.214927499999931,2026-05-28T08:37:05.358,2026-05-28T08:52:35.358,multimetro,5.214927499999931,6.0,Error Arduino: HX711 not found.,4.910820599999852,2026-05-28T08:37:05.047,2026-05-28T08:52:35.047,,balanza,-0.3041069000000789
21,,8.9632e-05,5.4646298000000115,2026-05-28T08:37:05.608,2026-05-28T08:52:35.608,multimetro,5.4646298000000115,7.0,,5.903147900000022,2026-05-28T08:37:06.048,2026-05-28T08:52:36.048,-0.04,balanza,0.43851810000001024
22,,8.982e-05,5.714871700000003,2026-05-28T08:37:05.859,2026-05-28T08:52:35.859,multimetro,5.714871700000003,7.0,,5.903147900000022,2026-05-28T08:37:06.048,2026-05-28T08:52:36.048,-0.04,balanza,0.18827620000001843
23,,8.9632e-05,5.964722100000017,2026-05-28T08:37:06.108,2026-05-28T08:52:36.108,multimetro,5.964722100000017,8.0,Error Arduino: HX711 not found.,5.926257999999962,2026-05-28T08:37:06.064,2026-05-28T08:52:36.064,,balanza,-0.03846410000005562
24,,8.9611e-05,6.214798499999915,2026-05-28T08:37:06.359,2026-05-28T08:52:36.359,multimetro,6.214798499999915,8.0,Error Arduino: HX711 not found.,5.926257999999962,2026-05-28T08:37:06.064,2026-05-28T08:52:36.064,,balanza,-0.2885404999999537
25,,9.0291e-05,6.464771199999859,2026-05-28T08:37:06.608,2026-05-28T08:52:36.608,multimetro,6.464771199999859,9.0,,6.918760300000031,2026-05-28T08:37:07.057,2026-05-28T08:52:37.057,-0.03,balanza,0.4539891000001717
26,,9.0417e-05,6.7148394999999255,2026-05-28T08:37:06.858,2026-05-28T08:52:36.858,multimetro,6.7148394999999255,9.0,,6.918760300000031,2026-05-28T08:37:07.057,2026-05-28T08:52:37.057,-0.03,balanza,0.20392080000010537
27,,8.9883e-05,6.964990999999827,2026-05-28T08:37:07.109,2026-05-28T08:52:37.109,multimetro,6.964990999999827,10.0,Error Arduino: HX711 not found.,6.942018999999846,2026-05-28T08:37:07.081,2026-05-28T08:52:37.081,,balanza,-0.022971999999981563
28,,8.9747e-05,7.2147869000000355,2026-05-28T08:37:07.352,2026-05-28T08:52:37.352,multimetro,7.2147869000000355,10.0,Error Arduino: HX711 not found.,6.942018999999846,2026-05-28T08:37:07.081,2026-05-28T08:52:37.081,,balanza,-0.2727679000001899
29,,8.9946e-05,7.464557199999945,2026-05-28T08:37:07.609,2026-05-28T08:52:37.609,multimetro,7.464557199999945,11.0,,7.9343366000000515,2026-05-28T08:37:08.074,2026-05-28T08:52:38.074,-0.02,balanza,0.46977940000010676
30,,8.9694e-05,7.714716499999895,2026-05-28T08:37:07.859,2026-05-28T08:52:37.859,multimetro,7.714716499999895,11.0,,7.9343366000000515,2026-05-28T08:37:08.074,2026-05-28T08:52:38.074,-0.02,balanza,0.21962010000015653
31,,8.981e-05,7.964635199999975,2026-05-28T08:37:08.109,2026-05-28T08:52:38.109,multimetro,7.964635199999975,12.0,Error Arduino: HX711 not found.,7.957360599999902,2026-05-28T08:37:08.102,2026-05-28T08:52:38.102,,balanza,-0.007274600000073406
32,,8.9663e-05,8.214761100000032,2026-05-28T08:37:08.358,2026-05-28T08:52:38.358,multimetro,8.214761100000032,12.0,Error Arduino: HX711 not found.,7.957360599999902,2026-05-28T08:37:08.102,2026-05-28T08:52:38.102,,balanza,-0.2574005000001307
33,,8.937e-05,8.464586199999985,2026-05-28T08:37:08.608,2026-05-28T08:52:38.608,multimetro,8.464586199999985,13.0,,8.949014999999918,2026-05-28T08:37:09.093,2026-05-28T08:52:39.093,0.01,balanza,0.4844287999999324
34,,8.9349e-05,8.715016200000036,2026-05-28T08:37:08.858,2026-05-28T08:52:38.858,multimetro,8.715016200000036,13.0,,8.949014999999918,2026-05-28T08:37:09.093,2026-05-28T08:52:39.093,0.01,balanza,0.23399879999988116
35,,8.9778e-05,8.96472649999987,2026-05-28T08:37:09.108,2026-05-28T08:52:39.108,multimetro,8.96472649999987,14.0,Error Arduino: HX711 not found.,8.972136500000033,2026-05-28T08:37:09.114,2026-05-28T08:52:39.114,,balanza,0.0074100000001635635
36,,8.9401e-05,9.214613699999973,2026-05-28T08:37:09.357,2026-05-28T08:52:39.357,multimetro,9.214613699999973,14.0,Error Arduino: HX711 not found.,8.972136500000033,2026-05-28T08:37:09.114,2026-05-28T08:52:39.114,,balanza,-0.24247719999993933
37,,8.9831e-05,9.464638599999944,2026-05-28T08:37:09.607,2026-05-28T08:52:39.607,multimetro,9.464638599999944,14.0,Error Arduino: HX711 not found.,8.972136500000033,2026-05-28T08:37:09.114,2026-05-28T08:52:39.114,,balanza,-0.49250209999991057
38,,8.9705e-05,9.714590000000044,2026-05-28T08:37:09.859,2026-05-28T08:52:39.859,multimetro,9.714590000000044,15.0,,9.963633200000004,2026-05-28T08:37:10.107,2026-05-28T08:52:40.107,0.07,balanza,0.24904319999996005
39,,8.9527e-05,9.965085699999918,2026-05-28T08:37:10.109,2026-05-28T08:52:40.109,multimetro,9.965085699999918,15.0,,9.963633200000004,2026-05-28T08:37:10.107,2026-05-28T08:52:40.107,0.07,balanza,-0.0014524999999139254
40,,8.9318e-05,10.21466220000002,2026-05-28T08:37:10.358,2026-05-28T08:52:40.358,multimetro,10.21466220000002,16.0,Error Arduino: HX711 not found.,9.986694299999954,2026-05-28T08:37:10.131,2026-05-28T08:52:40.131,,balanza,-0.22796790000006695
41,,8.9715e-05,10.464759999999842,2026-05-28T08:37:10.609,2026-05-28T08:52:40.609,multimetro,10.464759999999842,16.0,Error Arduino: HX711 not found.,9.986694299999954,2026-05-28T08:37:10.131,2026-05-28T08:52:40.131,,balanza,-0.47806569999988824
42,,8.9946e-05,10.714893500000017,2026-05-28T08:37:10.859,2026-05-28T08:52:40.859,multimetro,10.714893500000017,17.0,,10.97827889999985,2026-05-28T08:37:11.114,2026-05-28T08:52:41.114,0.0,balanza,0.2633853999998337
43,,8.9056e-05,10.964723699999922,2026-05-28T08:37:11.108,2026-05-28T08:52:41.108,multimetro,10.964723699999922,17.0,,10.97827889999985,2026-05-28T08:37:11.114,2026-05-28T08:52:41.114,0.0,balanza,0.013555199999927936
44,,8.9223e-05,11.214752399999952,2026-05-28T08:37:11.359,2026-05-28T08:52:41.359,multimetro,11.214752399999952,18.0,Error Arduino: HX711 not found.,11.001444099999844,2026-05-28T08:37:11.145,2026-05-28T08:52:41.145,,balanza,-0.21330830000010792
