indice,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc,masa_g,sensor,voltaje_V
0,,0.41538100000002487,2026-05-28T08:41:29.542,2026-05-28T08:56:59.542,,multimetro,-5.34e-07
0,Error Arduino: HX711 not found.,1.9757621000001109,2026-05-28T08:41:31.104,2026-05-28T08:57:01.104,,balanza,
1,,2.2249658000000636,2026-05-28T08:41:31.348,2026-05-28T08:57:01.348,,multimetro,5.35e-06
1,,2.9680445999999847,2026-05-28T08:41:32.098,2026-05-28T08:57:02.098,-0.02,balanza,
2,Error Arduino: HX711 not found.,2.9911167000000205,2026-05-28T08:41:32.121,2026-05-28T08:57:02.121,,balanza,
3,,3.983740800000078,2026-05-28T08:41:33.112,2026-05-28T08:57:03.112,-0.0,balanza,
4,Error Arduino: HX711 not found.,4.00708520000012,2026-05-28T08:41:33.133,2026-05-28T08:57:03.133,,balanza,
2,,4.234927299999981,2026-05-28T08:41:33.361,2026-05-28T08:57:03.361,,multimetro,1.7516e-05
5,,4.999336600000106,2026-05-28T08:41:34.130,2026-05-28T08:57:04.130,-0.03,balanza,
6,Error Arduino: HX711 not found.,5.022697999999991,2026-05-28T08:41:34.153,2026-05-28T08:57:04.153,,balanza,
7,,6.014108999999962,2026-05-28T08:41:35.145,2026-05-28T08:57:05.145,0.01,balanza,
8,Error Arduino: HX711 not found.,6.037466100000074,2026-05-28T08:41:35.168,2026-05-28T08:57:05.168,,balanza,
3,,6.24448510000002,2026-05-28T08:41:35.375,2026-05-28T08:57:05.375,,multimetro,5.214e-06
9,,7.0298599000000195,2026-05-28T08:41:36.160,2026-05-28T08:57:06.160,-0.01,balanza,
10,Error Arduino: HX711 not found.,7.053103100000044,2026-05-28T08:41:36.182,2026-05-28T08:57:06.182,,balanza,
11,,8.044476400000121,2026-05-28T08:41:37.175,2026-05-28T08:57:07.175,0.01,balanza,
12,Error Arduino: HX711 not found.,8.067710000000034,2026-05-28T08:41:37.194,2026-05-28T08:57:07.194,,balanza,
4,,8.254849599999943,2026-05-28T08:41:37.376,2026-05-28T08:57:07.376,,multimetro,1.226e-05
13,,9.058979700000009,2026-05-28T08:41:38.183,2026-05-28T08:57:08.183,0.02,balanza,
14,Error Arduino: HX711 not found.,9.082112199999983,2026-05-28T08:41:38.211,2026-05-28T08:57:08.211,,balanza,
15,,10.074716800000033,2026-05-28T08:41:39.204,2026-05-28T08:57:09.204,-0.01,balanza,
16,Error Arduino: HX711 not found.,10.098025400000097,2026-05-28T08:41:39.224,2026-05-28T08:57:09.224,,balanza,
5,,10.264636800000062,2026-05-28T08:41:39.395,2026-05-28T08:57:09.395,,multimetro,7.496e-06
17,,11.09038970000006,2026-05-28T08:41:40.214,2026-05-28T08:57:10.214,-0.01,balanza,
18,Error Arduino: HX711 not found.,11.113522899999907,2026-05-28T08:41:40.244,2026-05-28T08:57:10.244,,balanza,
19,,12.108082100000047,2026-05-28T08:41:41.237,2026-05-28T08:57:11.237,-606.93,balanza,
20,Error Arduino: HX711 not found.,12.131413399999929,2026-05-28T08:41:41.254,2026-05-28T08:57:11.254,,balanza,
6,,12.27472499999999,2026-05-28T08:41:41.403,2026-05-28T08:57:11.403,,multimetro,2.597e-06
21,,13.125913099999934,2026-05-28T08:41:42.257,2026-05-28T08:57:12.257,-607.06,balanza,
22,Error Arduino: HX711 not found.,13.1492717000001,2026-05-28T08:41:42.280,2026-05-28T08:57:12.280,,balanza,
23,,14.143680700000004,2026-05-28T08:41:43.274,2026-05-28T08:57:13.274,-607.06,balanza,
24,Error Arduino: HX711 not found.,14.166979900000115,2026-05-28T08:41:43.297,2026-05-28T08:57:13.297,,balanza,
7,,14.284756499999958,2026-05-28T08:41:43.408,2026-05-28T08:57:13.408,,multimetro,9.151e-06
25,,15.161379800000077,2026-05-28T08:41:44.291,2026-05-28T08:57:14.291,-607.08,balanza,
26,Error Arduino: HX711 not found.,15.184703000000127,2026-05-28T08:41:44.310,2026-05-28T08:57:14.310,,balanza,
27,,16.17923369999994,2026-05-28T08:41:45.304,2026-05-28T08:57:15.304,-607.14,balanza,
28,Error Arduino: HX711 not found.,16.202530600000046,2026-05-28T08:41:45.332,2026-05-28T08:57:15.332,,balanza,
8,,16.294509500000004,2026-05-28T08:41:45.421,2026-05-28T08:57:15.421,,multimetro,9.726e-06
29,,17.19696490000001,2026-05-28T08:41:46.318,2026-05-28T08:57:16.318,-607.11,balanza,
30,Error Arduino: HX711 not found.,17.220250999999962,2026-05-28T08:41:46.350,2026-05-28T08:57:16.350,,balanza,
31,,18.214709000000084,2026-05-28T08:41:47.343,2026-05-28T08:57:17.343,-607.12,balanza,
32,Error Arduino: HX711 not found.,18.238072399999965,2026-05-28T08:41:47.363,2026-05-28T08:57:17.363,,balanza,
9,,18.304926100000102,2026-05-28T08:41:47.433,2026-05-28T08:57:17.433,,multimetro,1.0742e-05
33,,19.232375300000058,2026-05-28T08:41:48.363,2026-05-28T08:57:18.363,-607.11,balanza,
34,Error Arduino: HX711 not found.,19.25569399999995,2026-05-28T08:41:48.387,2026-05-28T08:57:18.387,,balanza,
35,,20.250198700000055,2026-05-28T08:41:49.380,2026-05-28T08:57:19.380,-607.14,balanza,
36,Error Arduino: HX711 not found.,20.27351449999992,2026-05-28T08:41:49.404,2026-05-28T08:57:19.404,,balanza,
10,,20.314675699999952,2026-05-28T08:41:49.439,2026-05-28T08:57:19.439,,multimetro,1.1182e-05
37,,21.268020100000058,2026-05-28T08:41:50.397,2026-05-28T08:57:20.397,-607.13,balanza,
38,Error Arduino: HX711 not found.,21.291336499999943,2026-05-28T08:41:50.414,2026-05-28T08:57:20.414,,balanza,
39,,22.285777300000063,2026-05-28T08:41:51.413,2026-05-28T08:57:21.413,-607.17,balanza,
40,,22.299910599999976,2026-05-28T08:41:51.430,2026-05-28T08:57:21.430,-607.22,balanza,
41,Error Arduino: HX711 not found.,22.323028300000033,2026-05-28T08:41:51.447,2026-05-28T08:57:21.447,,balanza,
11,,22.324799799999937,2026-05-28T08:41:51.447,2026-05-28T08:57:21.447,,multimetro,4.816e-06
42,,23.317506200000025,2026-05-28T08:41:52.448,2026-05-28T08:57:22.448,-607.18,balanza,
43,Error Arduino: HX711 not found.,23.340853100000004,2026-05-28T08:41:52.463,2026-05-28T08:57:22.463,,balanza,
44,,24.333283299999948,2026-05-28T08:41:53.464,2026-05-28T08:57:23.464,58.04,balanza,
12,,24.3347318000001,2026-05-28T08:41:53.466,2026-05-28T08:57:23.466,,multimetro,1.8123e-05
45,Error Arduino: HX711 not found.,24.356544199999917,2026-05-28T08:41:53.485,2026-05-28T08:57:23.485,,balanza,
46,,25.34879890000002,2026-05-28T08:41:54.480,2026-05-28T08:57:24.480,-0.87,balanza,
47,Error Arduino: HX711 not found.,25.371911799999907,2026-05-28T08:41:54.497,2026-05-28T08:57:24.497,,balanza,
13,,26.344904799999995,2026-05-28T08:41:55.476,2026-05-28T08:57:25.476,,multimetro,9.329e-06
48,,26.364353200000096,2026-05-28T08:41:55.490,2026-05-28T08:57:25.490,-0.84,balanza,
49,Error Arduino: HX711 not found.,26.387458599999945,2026-05-28T08:41:55.513,2026-05-28T08:57:25.513,,balanza,
50,,27.379827100000057,2026-05-28T08:41:56.506,2026-05-28T08:57:26.506,-0.9,balanza,
51,Error Arduino: HX711 not found.,27.403001599999925,2026-05-28T08:41:56.530,2026-05-28T08:57:26.530,,balanza,
14,,28.354978999999958,2026-05-28T08:41:57.480,2026-05-28T08:57:27.480,,multimetro,4.0947e-05
52,,28.395523599999933,2026-05-28T08:41:57.523,2026-05-28T08:57:27.523,-0.83,balanza,
53,Error Arduino: HX711 not found.,28.418626899999936,2026-05-28T08:41:57.547,2026-05-28T08:57:27.547,,balanza,
54,,29.411125600000105,2026-05-28T08:41:58.540,2026-05-28T08:57:28.540,-0.77,balanza,
55,Error Arduino: HX711 not found.,29.43438160000005,2026-05-28T08:41:58.565,2026-05-28T08:57:28.565,,balanza,
15,,30.364556799999946,2026-05-28T08:41:59.490,2026-05-28T08:57:29.490,,multimetro,7.4293e-05
56,,30.426733400000103,2026-05-28T08:41:59.557,2026-05-28T08:57:29.557,-0.79,balanza,
57,Error Arduino: HX711 not found.,30.449730600000066,2026-05-28T08:41:59.580,2026-05-28T08:57:29.580,,balanza,
58,,31.44225920000008,2026-05-28T08:42:00.573,2026-05-28T08:57:30.573,-0.76,balanza,
59,Error Arduino: HX711 not found.,31.465221100000008,2026-05-28T08:42:00.596,2026-05-28T08:57:30.596,,balanza,
16,,32.374723299999914,2026-05-28T08:42:01.504,2026-05-28T08:57:31.504,,multimetro,4.083e-06
60,,32.457889900000055,2026-05-28T08:42:01.580,2026-05-28T08:57:31.580,-0.74,balanza,
61,Error Arduino: HX711 not found.,32.480987599999935,2026-05-28T08:42:01.607,2026-05-28T08:57:31.607,,balanza,
62,,33.473514499999965,2026-05-28T08:42:02.604,2026-05-28T08:57:32.604,-0.78,balanza,
63,Error Arduino: HX711 not found.,33.49660539999991,2026-05-28T08:42:02.624,2026-05-28T08:57:32.624,,balanza,
17,,34.38497230000007,2026-05-28T08:42:03.513,2026-05-28T08:57:33.513,,multimetro,3.0289e-05
64,,34.48907989999998,2026-05-28T08:42:03.613,2026-05-28T08:57:33.613,-0.81,balanza,
65,,34.501216699999986,2026-05-28T08:42:03.630,2026-05-28T08:57:33.630,-0.82,balanza,
66,Error Arduino: HX711 not found.,34.52430350000009,2026-05-28T08:42:03.647,2026-05-28T08:57:33.647,,balanza,
67,,35.516748100000086,2026-05-28T08:42:04.647,2026-05-28T08:57:34.647,-0.78,balanza,
68,Error Arduino: HX711 not found.,35.54007550000006,2026-05-28T08:42:04.670,2026-05-28T08:57:34.670,,balanza,
18,,36.394927800000005,2026-05-28T08:42:05.523,2026-05-28T08:57:35.523,,multimetro,1.025e-05
69,,36.53238970000007,2026-05-28T08:42:05.663,2026-05-28T08:57:35.663,-0.82,balanza,
70,Error Arduino: HX711 not found.,36.5556004,2026-05-28T08:42:05.680,2026-05-28T08:57:35.680,,balanza,
