indice,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc,masa_g
0,Error Arduino: HX711 not found.,1.9739780999998402,2026-05-28T08:51:13.848,2026-05-28T09:06:43.848,
1,,2.966458099999727,2026-05-28T08:51:14.836,2026-05-28T09:06:44.836,-0.01
2,Error Arduino: HX711 not found.,2.989473999999973,2026-05-28T08:51:14.864,2026-05-28T09:06:44.864,
3,,3.981058999999732,2026-05-28T08:51:15.855,2026-05-28T09:06:45.855,0.0
4,Error Arduino: HX711 not found.,4.004170000000158,2026-05-28T08:51:15.878,2026-05-28T09:06:45.878,
5,,4.996578599999793,2026-05-28T08:51:16.865,2026-05-28T09:06:46.865,-0.0
6,Error Arduino: HX711 not found.,5.019699099999798,2026-05-28T08:51:16.885,2026-05-28T09:06:46.885,
7,,6.011226699999952,2026-05-28T08:51:17.882,2026-05-28T09:06:47.882,0.0
8,Error Arduino: HX711 not found.,6.03450359999988,2026-05-28T08:51:17.905,2026-05-28T09:06:47.905,
9,,7.0258592999998655,2026-05-28T08:51:18.892,2026-05-28T09:06:48.892,0.0
10,Error Arduino: HX711 not found.,7.0490734999998494,2026-05-28T08:51:18.922,2026-05-28T09:06:48.922,
11,,8.041431000000102,2026-05-28T08:51:19.915,2026-05-28T09:06:49.915,-0.11
12,Error Arduino: HX711 not found.,8.064686400000028,2026-05-28T08:51:19.935,2026-05-28T09:06:49.935,
13,,9.056987299999946,2026-05-28T08:51:20.922,2026-05-28T09:06:50.922,-0.01
14,Error Arduino: HX711 not found.,9.080196200000046,2026-05-28T08:51:20.948,2026-05-28T09:06:50.948,
15,,10.071551900000031,2026-05-28T08:51:21.945,2026-05-28T09:06:51.945,0.09
16,Error Arduino: HX711 not found.,10.09468169999991,2026-05-28T08:51:21.962,2026-05-28T09:06:51.962,
17,,11.086269899999934,2026-05-28T08:51:22.955,2026-05-28T09:06:52.955,0.04
18,Error Arduino: HX711 not found.,11.109415399999762,2026-05-28T08:51:22.975,2026-05-28T09:06:52.975,
19,,12.100759099999777,2026-05-28T08:51:23.975,2026-05-28T09:06:53.975,0.17
