sensor,indice_multimetro,voltaje_V,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
multimetro,0,2.6049e-05,,0.5220142999996824,2026-05-28T09:42:48.221,2026-05-28T09:58:18.221,-930
multimetro,1,1.7621e-05,,1.0474659999999858,2026-05-28T09:42:48.747,2026-05-28T09:58:18.747,-930
multimetro,2,1.6971e-05,,1.572124399999666,2026-05-28T09:42:49.269,2026-05-28T09:58:19.269,-930
multimetro,3,2.2112e-05,,2.0968093999999837,2026-05-28T09:42:49.791,2026-05-28T09:58:19.791,-930
multimetro,4,2.4091e-05,,2.6213294999997743,2026-05-28T09:42:50.321,2026-05-28T09:58:20.321,-930
multimetro,5,2.0479e-05,,3.1464108000000124,2026-05-28T09:42:50.844,2026-05-28T09:58:20.844,-930
multimetro,6,1.4951e-05,,3.671130699999594,2026-05-28T09:42:51.371,2026-05-28T09:58:21.371,-930
multimetro,7,1.7275e-05,,4.195913700000347,2026-05-28T09:42:51.889,2026-05-28T09:58:21.889,-930
multimetro,8,2.7693e-05,,4.72076879999986,2026-05-28T09:42:52.419,2026-05-28T09:58:22.419,-930
multimetro,9,2.5358e-05,,5.245702399999573,2026-05-28T09:42:52.938,2026-05-28T09:58:22.938,-930
multimetro,10,1.5391e-05,,5.770401099999617,2026-05-28T09:42:53.470,2026-05-28T09:58:23.470,-930
multimetro,11,1.8699e-05,,6.295271899999534,2026-05-28T09:42:53.988,2026-05-28T09:58:23.988,-930
multimetro,12,2.675e-05,,6.820135500000106,2026-05-28T09:42:54.514,2026-05-28T09:58:24.514,-930
multimetro,13,3.2027e-05,,7.344983500000126,2026-05-28T09:42:55.037,2026-05-28T09:58:25.037,-930
multimetro,14,2.3013e-05,,7.869667500000105,2026-05-28T09:42:55.564,2026-05-28T09:58:25.564,-930
multimetro,15,4.82e-07,,8.394363599999451,2026-05-28T09:42:56.091,2026-05-28T09:58:26.091,-930
multimetro,16,1.3003e-05,,8.919102300000304,2026-05-28T09:42:56.614,2026-05-28T09:58:26.614,-930
multimetro,17,-9.842e-06,,9.443999299999632,2026-05-28T09:42:57.142,2026-05-28T09:58:27.142,-930
multimetro,18,3.7974e-05,,9.968545400000039,2026-05-28T09:42:57.668,2026-05-28T09:58:27.668,-930
multimetro,19,1.1705e-05,,10.49341639999966,2026-05-28T09:42:58.187,2026-05-28T09:58:28.187,-930
