sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s,indice_multimetro,voltaje_V
multimetro,,,,0.521467899999152,2026-05-28T10:15:06.167,2026-05-28T10:30:36.167,-930,0.0,0.001535035
multimetro,,,,1.0464438999997583,2026-05-28T10:15:06.699,2026-05-28T10:30:36.699,-930,1.0,0.001535359
balanza,0.0,,Error desde Arduino: HX711 not found.,1.4215871999995215,2026-05-28T10:15:07.076,2026-05-28T10:30:37.076,-930,,
multimetro,,,,1.5704386999996132,2026-05-28T10:15:07.216,2026-05-28T10:30:37.216,-930,2.0,0.001535778
multimetro,,,,2.094558099999631,2026-05-28T10:15:07.749,2026-05-28T10:30:37.749,-930,3.0,0.001536008
balanza,1.0,0.02,,2.412911599999461,2026-05-28T10:15:08.066,2026-05-28T10:30:38.066,-930,,
balanza,2.0,,Error desde Arduino: HX711 not found.,2.4362137999996776,2026-05-28T10:15:08.083,2026-05-28T10:30:38.083,-930,,
multimetro,,,,2.618857299999945,2026-05-28T10:15:08.266,2026-05-28T10:30:38.266,-930,4.0,0.00153627
multimetro,,,,3.142903099999785,2026-05-28T10:15:08.795,2026-05-28T10:30:38.795,-930,5.0,0.001536354
balanza,3.0,-0.03,,3.428535899999588,2026-05-28T10:15:09.082,2026-05-28T10:30:39.082,-930,,
balanza,4.0,,Error desde Arduino: HX711 not found.,3.4519757999996727,2026-05-28T10:15:09.102,2026-05-28T10:30:39.102,-930,,
multimetro,,,,3.666867899999488,2026-05-28T10:15:09.320,2026-05-28T10:30:39.320,-930,6.0,0.001536249
multimetro,,,,4.190983199999209,2026-05-28T10:15:09.842,2026-05-28T10:30:39.842,-930,7.0,0.001536427
balanza,5.0,0.01,,4.443290799999886,2026-05-28T10:15:10.093,2026-05-28T10:30:40.093,-930,,
balanza,6.0,,Error desde Arduino: HX711 not found.,4.466365999999653,2026-05-28T10:15:10.116,2026-05-28T10:30:40.116,-930,,
multimetro,,,,4.715307599999505,2026-05-28T10:15:10.366,2026-05-28T10:30:40.366,-930,8.0,0.001536438
multimetro,,,,5.239476099999592,2026-05-28T10:15:10.892,2026-05-28T10:30:40.892,-930,9.0,0.001536427
balanza,7.0,-0.01,,5.458869999999479,2026-05-28T10:15:11.109,2026-05-28T10:30:41.109,-930,,
