sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,0,,Error desde Arduino: HX711 not found.,1.4748704000012367,2026-05-28T12:41:23.403,2026-05-28T12:56:53.403,-930
balanza,1,-0.02,,2.467013000001316,2026-05-28T12:41:24.393,2026-05-28T12:56:54.393,-930
balanza,2,,Error desde Arduino: HX711 not found.,2.4901750999997603,2026-05-28T12:41:24.420,2026-05-28T12:56:54.420,-930
balanza,3,-0.08,,3.482495199999903,2026-05-28T12:41:25.410,2026-05-28T12:56:55.410,-930
balanza,4,,Error desde Arduino: HX711 not found.,3.505560700001297,2026-05-28T12:41:25.436,2026-05-28T12:56:55.436,-930
balanza,5,-0.06,,4.498001400001158,2026-05-28T12:41:26.426,2026-05-28T12:56:56.426,-930
balanza,6,-0.04,,4.511513400000695,2026-05-28T12:41:26.443,2026-05-28T12:56:56.443,-930
balanza,7,,Error desde Arduino: HX711 not found.,4.534785699999702,2026-05-28T12:41:26.460,2026-05-28T12:56:56.460,-930
balanza,8,-0.08,,5.527097100000901,2026-05-28T12:41:27.459,2026-05-28T12:56:57.459,-930
balanza,9,,Error desde Arduino: HX711 not found.,5.550357600001007,2026-05-28T12:41:27.476,2026-05-28T12:56:57.476,-930
balanza,10,-0.08,,6.5424901000005775,2026-05-28T12:41:28.469,2026-05-28T12:56:58.469,-930
balanza,11,,Error desde Arduino: HX711 not found.,6.565523900000699,2026-05-28T12:41:28.493,2026-05-28T12:56:58.493,-930
balanza,12,-0.1,,7.557930800001486,2026-05-28T12:41:29.486,2026-05-28T12:56:59.486,-930
balanza,13,,Error desde Arduino: HX711 not found.,7.581011899999794,2026-05-28T12:41:29.510,2026-05-28T12:56:59.510,-930
balanza,14,-0.11,,8.5733737999999,2026-05-28T12:41:30.503,2026-05-28T12:57:00.503,-930
balanza,15,,Error desde Arduino: HX711 not found.,8.59657370000059,2026-05-28T12:41:30.528,2026-05-28T12:57:00.528,-930
balanza,16,-0.12,,9.588851100001193,2026-05-28T12:41:31.512,2026-05-28T12:57:01.512,-930
balanza,17,,Error desde Arduino: HX711 not found.,9.61185579999983,2026-05-28T12:41:31.543,2026-05-28T12:57:01.543,-930
