frequency_Hz,R_V_mean,R_V_err
49500.0,0.003100602,2.7297917869317457e-05
49510.0,0.00311281,0.0
49520.0,0.00311281,0.0
49530.0,0.00311281,0.0
49540.0,0.00311281,0.0
49550.0,0.00317384,0.0
49560.0,0.00317384,0.0
49570.0,0.00317384,0.0
49580.0,0.00323488,0.0
49590.0,0.00323488,0.0
49600.0,0.00329591,0.0
49610.0,0.00329591,0.0
49620.0,0.00329591,0.0
49630.0,0.00329591,0.0
49640.0,0.00335695,0.0
49650.0,0.00335695,0.0
49660.0,0.00341798,0.0
49670.0,0.00341798,0.0
49680.0,0.00341798,0.0
49690.0,0.00347902,0.0
49700.0,0.00347902,0.0
49710.0,0.00347902,0.0
49720.0,0.0035400500000000003,4.84869951806108e-19
49730.0,0.0035400500000000003,4.84869951806108e-19
49740.0,0.00360109,0.0
49750.0,0.00366212,0.0
49760.0,0.0037231600000000005,4.84869951806108e-19
49770.0,0.0037231600000000005,4.84869951806108e-19
49780.0,0.0037841900000000006,4.84869951806108e-19
49790.0,0.0038452299999999994,4.84869951806108e-19
49800.0,0.0038452299999999994,4.84869951806108e-19
49810.0,0.00390628,0.0
49820.0,0.00396731,0.0
49830.0,0.00402835,0.0
49840.0,0.00415042,0.0
49850.0,0.00421146,0.0
49860.0,0.00427249,0.0
49870.0,0.00439456,0.0
49880.0,0.0044556,0.0
49890.0,0.00457767,0.0
49900.0,0.00469974,0.0
49910.0,0.00482181,0.0
49920.0,0.00488284,0.0
49930.0,0.00506595,0.0
49940.0,0.00524905,0.0
49950.0,0.00543216,0.0
49960.0,0.0056763,0.0
49970.0,0.00592044,0.0
49980.0,0.00622562,0.0
49990.0,0.00659183,0.0
50000.0,0.00701907,0.0
50010.0,0.007605007999999999,3.342750768453987e-05
50020.0,0.00823981,0.0
50030.0,0.00915533,0.0
50040.0,0.010376,0.0
50050.0,0.012085,0.0
50052.0,0.0125123,0.0
50054.0,0.013000500000000002,1.939479807224432e-18
50056.0,0.0135499,0.0
50058.0,0.014099200000000001,1.939479807224432e-18
50060.0,0.0147706,0.0
50062.0,0.015442,0.0
50064.0,0.0162965,0.0
50066.0,0.017212,0.0
50068.0,0.0182496,0.0
50070.0,0.0194581,2.728002932549679e-05
50072.0,0.0208131,0.0
50074.0,0.0224611,0.0
50076.0,0.0244142,0.0
50078.0,0.026794599999999995,3.878959614448864e-18
50080.0,0.0297242,0.0
50082.0,0.0334719,3.3411076007814343e-05
50084.0,0.0383303,0.0
50085.0,0.041369880000000005,2.7324750685048067e-05
50085.1,0.0416873,0.0
50085.2,0.0420535,0.0
50085.3,0.0424197,0.0
50085.4,0.0427248,0.0
50085.5,0.0430911,0.0
50085.6,0.0434573,0.0
50085.7,0.0438235,0.0
50085.8,0.0441897,0.0
50085.9,0.0446169,0.0
50086.0,0.0449831,0.0
50086.1,0.0453494,0.0
50086.2,0.0457766,0.0
50086.3,0.0461428,0.0
50086.4,0.0466311,0.0
50086.5,0.0469973,0.0
50086.6,0.0474246,0.0
50086.7,0.0478518,0.0
50086.8,0.0483401,0.0
50086.9,0.0488284,0.0
50087.0,0.0492556,0.0
50087.1,0.0497439,0.0
50087.2,0.05023219999999999,7.757919228897728e-18
50087.3,0.0507205,0.0
50087.4,0.05120870000000001,7.757919228897728e-18
50087.5,0.05175810000000001,7.757919228897728e-18
50087.6,0.0522463,0.0
50087.7,0.0527956,0.0
50087.8,0.053345,0.0
50087.9,0.05389429999999999,7.757919228897728e-18
50088.0,0.0545046,0.0
50088.1,0.0550539,0.0
50088.2,0.0556643,0.0
50088.3,0.0562747,0.0
50088.4,0.056885,0.0
50088.5,0.057556399999999994,7.757919228897728e-18
50088.6,0.05820336,3.3465848263566436e-05
50088.7,0.05883809999999999,7.757919228897728e-18
50088.8,0.05950950000000001,7.757919228897728e-18
50088.9,0.0602419,0.0
50089.0,0.06091329999999999,7.757919228897728e-18
50089.1,0.061645700000000005,7.757919228897728e-18
50089.2,0.06237820000000001,7.757919228897728e-18
50089.3,0.0631719,0.0
50089.4,0.0639043,0.0
50089.5,0.0647588,0.0
50089.6,0.0655522,0.0
50089.7,0.0664067,0.0
50089.8,0.0672612,0.0
50089.9,0.0681157,0.0
50090.0,0.06905564,3.3465848263562635e-05
50090.1,0.0699468,0.0
50090.2,0.0709233,0.0
50090.3,0.0718999,0.0
50090.4,0.0729253,2.7280029325499887e-05
50090.5,0.0739141,0.0
50090.6,0.0750127,0.0
50090.7,0.0760991,2.7280029325499887e-05
50090.8,0.0772099,0.0
50090.9,0.0783574,2.7280029325493683e-05
50091.0,0.0795293,0.0
50091.1,0.08075,0.0
50091.2,0.0819707,0.0
50091.3,0.0832524,0.0
50091.4,0.0845952,0.0
50091.5,0.085938,0.0
50091.6,0.0873418,0.0
50091.7,0.0887456,0.0
50091.8,0.0902715,0.0
50091.9,0.09177296000000001,3.3465848263562635e-05
50092.0,0.0933232,0.0
50092.1,0.0949101,0.0
50092.2,0.0966191,0.0
50092.3,0.0983281,0.0
50092.4,0.100037,0.0
50092.5,0.1019168,2.7280029325499887e-05
50092.6,0.10376,0.0
50092.7,0.1057008,2.7280029325499887e-05
50092.8,0.1076538,2.7280029325493683e-05
50092.9,0.109681,0.0
50093.0,0.1118048,2.7280029325499887e-05
50093.1,0.113953,0.0
50093.2,0.11615,0.0
50093.3,0.11840900000000001,1.5515838457795457e-17
50093.4,0.120789,0.0
50093.5,0.1231568,2.7280029325499887e-05
50093.6,0.1255988,2.7280029325499894e-05
50093.7,0.1281018,2.728002932549989e-05
50093.8,0.130677,0.0
50093.9,0.13327760000000002,3.341107600781814e-05
50094.0,0.1359626,3.3411076007818145e-05
50094.1,0.13866079999999997,2.728002932548748e-05
50094.2,0.141419,0.0
50094.3,0.1442148,2.7280029325499894e-05
50094.4,0.1470228,2.7280029325499894e-05
50094.5,0.1498298,2.7280029325499894e-05
50094.6,0.15269880000000002,2.7280029325499894e-05
50094.7,0.1555066,2.7727242920987888e-05
50094.8,0.15828939999999997,5.4560058650988925e-05
50094.9,0.161012,0.0
50095.0,0.1637458,2.728002932548748e-05
50095.1,0.166383,0.0
50095.2,0.168885,0.0
50095.3,0.17130260000000003,5.456005865099979e-05
50095.4,0.1735728,2.728002932548748e-05
50095.5,0.17566,0.0
50095.6,0.17757640000000002,3.3411076007818145e-05
50095.7,0.1793098,2.728002932549989e-05
50095.8,0.18076260000000002,3.341107600781814e-05
50095.9,0.181947,0.0
50096.0,0.18291079999999998,2.728002932549989e-05
50096.1,0.183534,0.0
50096.2,0.1839,0.0
50096.3,0.183961,0.0
50096.4,0.183717,0.0
50096.5,0.1831426,3.3411076007818145e-05
50096.6,0.182313,0.0
50096.7,0.1811774,3.341107600780294e-05
50096.8,0.17977379999999998,3.3958798565323855e-05
50096.9,0.1781142,2.728002932548748e-05
50097.0,0.17622120000000002,2.728002932549989e-05
50097.1,0.1741462,2.728002932548748e-05
50097.2,0.1719004,3.3411076007818145e-05
50097.3,0.16945939999999998,3.3411076007818145e-05
50097.4,0.16688319999999998,2.7280029325499894e-05
50097.5,0.16425920000000002,2.728002932549989e-05
50097.6,0.16146339999999998,3.341107600781814e-05
50097.7,0.15864319999999998,2.7280029325499894e-05
50097.8,0.15575080000000002,5.103626161857326e-05
50097.9,0.1528452,2.7280029325499894e-05
50098.0,0.14987860000000003,3.341107600781814e-05
50098.1,0.14696179999999998,2.728002932549989e-05
50098.2,0.144044,0.0
50098.3,0.14112619999999998,2.7280029325499894e-05
50098.4,0.1382582,2.7280029325499894e-05
50098.5,0.135438,0.0
50098.6,0.1326544,3.3411076007818145e-05
50098.7,0.1298962,2.7280029325499894e-05
50098.8,0.1272224,3.3411076007818145e-05
50098.9,0.1245852,2.7280029325493686e-05
50099.0,0.1220222,2.7280029325499887e-05
50099.1,0.119507,0.0
50099.2,0.1170782,2.7280029325493686e-05
50099.3,0.114686,0.0
50099.4,0.11237819999999998,2.7280029325499894e-05
50099.5,0.11010800000000001,1.5515838457795457e-17
50099.6,0.107911,0.0
50099.7,0.10578620000000001,2.7280029325493683e-05
50099.8,0.10376,0.0
50099.9,0.1016972,2.7280029325499887e-05
50100.0,0.099793,0.0
50100.1,0.0978398,0.0
50100.2,0.0960088,0.0
50100.3,0.0942388,0.0
50100.4,0.0925298,0.0
50100.5,0.0908208,0.0
50100.6,0.0891728,0.0
50100.7,0.0875859,0.0
50100.8,0.08606,0.0
50100.9,0.0845464,2.7280029325493686e-05
50101.0,0.0831304,0.0
50101.1,0.0816655,0.0
50101.2,0.0803227,0.0
50101.3,0.07898,0.0
50101.4,0.07766160000000001,3.341107600781054e-05
50101.5,0.0764165,0.0
50101.6,0.0751958,0.0
50101.7,0.0739751,0.0
50101.8,0.0728154,0.0
50101.9,0.0717168,0.0
50102.0,0.0706182,0.0
50102.1,0.0695806,0.0
50102.2,0.06849411999999999,2.732475068505117e-05
50102.3,0.0675054,0.0
50102.4,0.0665288,0.0
50102.5,0.0655522,0.0
50102.6,0.0646367,0.0
50102.7,0.0637212,0.0
50102.8,0.0628057,0.0
50102.9,0.06195090000000001,7.757919228897728e-18
50103.0,0.06109640000000001,7.757919228897728e-18
50103.1,0.0602419,0.0
50103.2,0.0594485,0.0
50103.3,0.058655,0.0
50103.4,0.057922600000000005,7.757919228897728e-18
50103.5,0.0571291,0.0
50103.6,0.0563967,0.0
50103.7,0.0557253,0.0
50103.8,0.0549929,0.0
50103.9,0.0543215,0.0
50104.0,0.0536501,0.0
50104.1,0.052978800000000006,7.757919228897728e-18
50104.2,0.05230739999999999,7.757919228897728e-18
50104.3,0.05175810000000001,7.757919228897728e-18
50104.4,0.0510867,0.0
50104.5,0.05047630000000001,7.757919228897728e-18
50104.6,0.049927,0.0
50104.7,0.0493777,0.0
50104.8,0.0487673,0.0
50104.9,0.048218,0.0
50105.0,0.0476931,3.3411076007814343e-05
50107.0,0.03885522000000001,5.4599194133246896e-05
50109.0,0.0326052,2.7280029325499887e-05
50111.0,0.02796642,2.7324750685048067e-05
50113.0,0.0244142,0.0
50115.0,0.0216066,0.0
50117.0,0.0192872,0.0
50119.0,0.0173951,0.0
50121.0,0.0158082,0.0
50123.0,0.0144654,0.0
50125.0,0.0133057,0.0
50127.0,0.0122681,0.0
50129.0,0.011364799999999998,2.728002932549756e-05
50131.0,0.0106202,0.0
50133.0,0.00988775,0.0
50135.0,0.009228576,2.729344573336248e-05
50137.0,0.00872809,0.0
50139.0,0.00817877,0.0
50141.0,0.007690459999999999,9.69739903612216e-19
50143.0,0.007263210000000001,9.69739903612216e-19
50145.0,0.006848176,2.7293445733362483e-05
50147.0,0.006481965999999999,2.7293445733362486e-05
50149.0,0.00616458,0.0
50151.0,0.0058594,0.0
50153.0,0.00555423,0.0
50155.0,0.00524905,0.0
50157.0,0.005017117999999999,2.7297917869317454e-05
50159.0,0.00476077,0.0
50161.0,0.00457767,0.0
50163.0,0.00433353,0.0
50165.0,0.00415042,0.0
50167.0,0.00396731,0.0
50169.0,0.0037841900000000006,4.84869951806108e-19
50171.0,0.00366212,0.0
50173.0,0.00347902,0.0
50175.0,0.0033081179999999996,2.7297917869317454e-05
50177.0,0.00317384,0.0
50179.0,0.00305177,0.0
50181.0,0.0029297,0.0
50183.0,0.00280763,0.0
50185.0,0.00268556,0.0
50187.0,0.00256349,0.0
50189.0,0.00244142,0.0
50191.0,0.00231935,0.0
50193.0,0.00225832,0.0
50195.0,0.00213625,0.0
50197.0,0.00207521,0.0
50199.0,0.00201418,0.0
50201.0,0.001922426,1.0285912696496131e-07
50203.0,0.0018415500000000002,2.939387691339177e-07
50205.0,0.0017634940000000002,2.146625258400626e-07
50207.0,0.0016882020000000002,3.1292171544975634e-07
50209.0,0.0016156260000000002,2.1466252583996561e-07
50211.0,0.0015455819999999998,2.7059194370858467e-07
50213.0,0.001477916,1.9603571103245725e-07
50215.0,0.0014125440000000002,2.1466252583995352e-07
50217.0,0.001349316,2.1466252583996564e-07
50219.0,0.001288228,2.6290682760249204e-07
50221.0,0.001228916,1.3145341380117183e-07
50223.0,0.00117174,2.096425529323702e-07
50225.0,0.00111595,2.096425529323702e-07
50227.0,0.001062112,2.629068276024624e-07
50229.0,0.001009902,3.129217154497481e-07
50231.0,0.0009593049999999999,2.1326509325252418e-07
50233.0,0.0009100472,1.6864518967344012e-07
50235.0,0.0008619824,2.1332088505349314e-07
50237.0,0.0008155381999999999,2.1337689659380513e-07
50239.0,0.0007703818,1.0688404932447582e-07
50241.0,0.0007265128,1.0688404932447581e-07
50243.0,0.0006836453999999999,2.133208850534931e-07
50245.0,0.000642065,1.6829141392240315e-07
50247.0,0.0006014859999999999,1.9960335668522187e-07
50249.0,0.0005620514,2.1332088505349314e-07
50251.0,0.0005236664,2.1332088505349314e-07
50253.0,0.00048642360000000003,1.0643683572899306e-07
50255.0,0.0004497544,2.1332088505349314e-07
50257.0,0.00041418259999999996,1.0643683572899306e-07
50259.0,0.00037937359999999995,1.0643683572899306e-07
50261.0,0.0003455178,1.0688404932447582e-07
50263.0,0.00031237779999999997,1.0688404932450007e-07
50265.0,0.000280144,0.0
50265.1,0.000278236,0.0
50265.2,0.0002767104,1.3090569124371738e-07
50265.3,0.000275137,0.0
50265.4,0.000273468,0.0
50265.5,0.00027189419999999997,1.303579686862333e-07
50265.6,0.000270369,0.0
50265.7,0.0002687,0.0
50265.8,0.0002671738,1.303579686862333e-07
50265.9,0.0002656,0.0
50266.0,0.000263931,0.0
50266.1,0.000262262,0.0
50266.2,0.00026064079999999997,1.0688404932450007e-07
50266.3,0.000259163,0.0
50266.4,0.0002575416,1.0643683572899306e-07
50266.5,0.000256063,0.0
50266.6,0.000254633,0.0
50266.7,0.000252964,0.0
50266.8,0.000251295,0.0
50266.9,0.000249865,0.0
50267.0,0.00024829120000000005,1.303579686862333e-07
50267.1,0.000246765,0.0
50267.2,0.000245096,0.0
50267.3,0.00024366500000000003,3.030437198788175e-20
50267.4,0.00024194819999999998,1.0688404932448794e-07
50267.5,0.00024046980000000002,1.303579686862333e-07
50267.6,0.000238896,0.0
50267.7,0.00023746600000000003,3.030437198788175e-20
50267.8,0.000235797,0.0
50267.9,0.00023412800000000003,3.030437198788175e-20
50268.0,0.00023269699999999997,3.030437198788175e-20
50268.1,0.000231267,0.0
50268.2,0.000229598,0.0
50268.3,0.00022792900000000003,3.030437198788175e-20
50268.4,0.00022649899999999996,3.030437198788175e-20
50268.5,0.000225068,0.0
50268.6,0.00022363800000000002,3.030437198788175e-20
50268.7,0.00022196899999999997,3.030437198788175e-20
50268.8,0.000220538,0.0
50268.9,0.00021910800000000003,3.030437198788175e-20
50269.0,0.000217439,0.0
50269.1,0.00021596039999999999,1.0643683572899306e-07
